time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-01 00:00:00+00:00,29,10,0,0
2026-06-02 00:00:00+00:00,4,4,0,0
2026-06-03 00:00:00+00:00,22,7,0,0
2026-06-04 00:00:00+00:00,9,5,0,0
2026-06-05 00:00:00+00:00,35,14,0,0
2026-06-06 00:00:00+00:00,23,8,0,0
2026-06-07 00:00:00+00:00,22,7,0,0
2026-06-08 00:00:00+00:00,24,9,0,0
2026-06-09 00:00:00+00:00,4,4,0,0
2026-06-10 00:00:00+00:00,16,6,0,0
2026-06-11 00:00:00+00:00,23,8,0,0
2026-06-12 00:00:00+00:00,46,16,0,0
2026-06-13 00:00:00+00:00,23,8,0,0
2026-06-14 00:00:00+00:00,39,10,0,0
